Durusdinium33176	potassium:proton antiporter activity
Durusdinium621	Rab subfamily of small GTPases
Durusdinium35077	Belongs to the class I-like SAM-binding methyltransferase superfamily. RNA M5U methyltransferase family
Durusdinium4475	heme o metabolic process
Durusdinium51701	YGGT family
Durusdinium1105	RNA-binding protein mei2 homologue
Durusdinium25651	Calcium-dependent protein kinase
Durusdinium14894	Tubulin-tyrosine ligase family
Durusdinium1889	methyltransferase activity
Durusdinium18483	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium10521	protein disulfide oxidoreductase activity
Durusdinium33558	Kelch repeat and K channel
Durusdinium40372	ATPase activity, coupled to transmembrane movement of substances
Durusdinium17785	Responsible for synthesis of pseudouridine from uracil
Durusdinium40975	nitrite reductase (NAD(P)H) large subunit
Durusdinium43777	Regulator of chromosome condensation (RCC1) repeat
Durusdinium38205	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome
Durusdinium12583	Belongs to the small GTPase superfamily. SAR1 family
Durusdinium22326	Belongs to the glycosyl hydrolase 5 (cellulase A) family
Durusdinium27090	Domains in hypothetical proteins in Drosophila, C. elegans and mammals. Occurs singly in some nucleoside diphosphate kinases.
Durusdinium32557	Chloride channel protein
Durusdinium831	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity
Durusdinium34684	Globin
Durusdinium8749	2-acylglycerol O-acyltransferase activity
Durusdinium11498	DnaJ-class molecular chaperone with C-terminal Zn finger domain
Durusdinium13142	Thioredoxin
Durusdinium41180	Ribosomal protein S1-like RNA-binding domain
Durusdinium24303	nucleotide-sugar transmembrane transporter activity
Durusdinium41611	Belongs to the cullin family
Durusdinium34461	Nitrile hydratase, alpha chain
Durusdinium41430	regulation of cobalamin metabolic process
Durusdinium19873	Deltex 3 like, E3 ubiquitin ligase
Durusdinium29375	ABC transporter
Durusdinium9226	exopeptidase activity
Durusdinium54527	ligase activity. It is involved in the biological process described with glutamyl-tRNA aminoacylation
Durusdinium24893	Checkpoint with forkhead and ring finger domains, E3 ubiquitin protein ligase
Durusdinium31971	prohibitin homologues
Durusdinium34992	cGMP-dependent protein kinase activity
Durusdinium6722	CH-like domain in sperm protein
Durusdinium35850	Belongs to the DHHC palmitoyltransferase family
Durusdinium48968	Serine/Threonine protein kinases, catalytic domain
Durusdinium6606	VAC14 homolog
Durusdinium495	serine arginine-rich splicing factor
Durusdinium41443	Protein arginine n-methyltransferase
Durusdinium37667	negative regulation of centriole-centriole cohesion
Durusdinium31104	Belongs to the 5-formyltetrahydrofolate cyclo-ligase family
Durusdinium23972	phosphoadenylyl-sulfate reductase (thioredoxin) activity
Durusdinium21763	-
Durusdinium23926	Source PGD
Durusdinium53245	Introduces a single-strand break via transesterification at a target site in duplex DNA. Releases the supercoiling and torsional tension of DNA introduced during the DNA replication and transcription by transiently cleaving and rejoining one strand of the DNA duplex. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand
Durusdinium40086	DnaJ molecular chaperone homology domain
Durusdinium25002	glucosyltransferase activity
Durusdinium22860	oxidation-reduction process
Durusdinium40810	Ferredoxin--NADP reductase
Durusdinium23826	Belongs to the protein kinase superfamily. Ser Thr protein kinase family
Durusdinium42756	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
Durusdinium18196	Amino-transferase class IV
Durusdinium30799	transporter
Durusdinium4161	Has a glutathione-disulfide oxidoreductase activity in the presence of NADPH and glutathione reductase. Reduces low molecular weight disulfides and proteins
Durusdinium39301	NADH:flavin oxidoreductase / NADH oxidase family
Durusdinium9201	Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage
Durusdinium28554	ATP-binding cassette sub-family B
Durusdinium11903	Major Facilitator Superfamily
Durusdinium36895	RNA pseudouridylate synthase
Durusdinium22415	Inosine-5'-monophosphate dehydrogenase. Source PGD
Durusdinium38294	MAP kinase kinase kinase activity
Durusdinium41496	GUN4-like
Durusdinium21591	intramolecular oxidoreductase activity, transposing S-S bonds
Durusdinium41143	protein polyubiquitination
Durusdinium46397	Belongs to the protein kinase superfamily
Durusdinium25649	Belongs to the glycosyl hydrolase 5 (cellulase A) family
Durusdinium31078	palmitoyl-(protein) hydrolase activity
Durusdinium55049	transferase activity, transferring hexosyl groups
Durusdinium12618	serine threonine-protein phosphatase
Durusdinium33314	Pre-mRNA-splicing factor CWC21
Durusdinium38033	Acid phosphatase
Durusdinium33515	Prolyl 4-hydroxylase alpha subunit homologues.
Durusdinium6898	-
Durusdinium38581	Protein tyrosine kinase
Durusdinium34701	endoplasmic reticulum-plasma membrane tethering
Durusdinium22369	Serine threonine-protein phosphatase
Durusdinium15475	GTPase involved in pre-60S ribosomal subunit maturation
Durusdinium35625	Catalyzes the epimerization of the S- and R-forms of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration. This is a prerequisite for the S- specific NAD(P)H-hydrate dehydratase to allow the repair of both epimers of NAD(P)HX
Durusdinium54605	SNARE associated Golgi protein
Durusdinium52223	PCI domain
Durusdinium23935	fructose 1,6-bisphosphate 1-phosphatase activity
Durusdinium43943	-
Durusdinium31318	Rieske (2Fe-2S) domain
Durusdinium7551	Serine threonine-protein phosphatase
Durusdinium31843	epimerase
Durusdinium9948	Potassium voltage-gated channel subfamily A member 5
Durusdinium32096	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium41377	Pyridine nucleotide-disulphide oxidoreductase
Durusdinium4104	DNAJ heat shock N-terminal domain-containing protein
Durusdinium34880	Lysine methyltransferase
Durusdinium54289	Peptidyl-prolyl cis-trans
Durusdinium11321	E3 ubiquitin-protein ligase
Durusdinium6398	EF-hand domain
Durusdinium20331	Sugar (and other) transporter
Durusdinium5885	alpha-amylase
Durusdinium19104	peptide-methionine (S)-S-oxide reductase activity
Durusdinium53677	Epidermal growth factor receptor
Durusdinium42957	nucleotidase 1
Durusdinium37149	Responsible for synthesis of pseudouridine from uracil
Durusdinium1966	COG0330 Membrane protease subunits stomatin prohibitin homologs
Durusdinium37911	3-demethylubiquinone-9 3-O-methyltransferase activity
Durusdinium39203	protein localization to cytosolic proteasome complex
Durusdinium54309	pfkB family carbohydrate kinase
Durusdinium28248	Belongs to the 14-3-3 family
Durusdinium22636	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium17168	Dihydroxy-acid dehydratase. Source PGD
Durusdinium9065	SUMO transferase activity
Durusdinium12327	DnaJ molecular chaperone homology domain
Durusdinium41047	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
Durusdinium36909	Na H antiporter
Durusdinium30328	cytidylyltransferase
Durusdinium1262	UTP23, small subunit (SSU) processome component, homolog (yeast)
Durusdinium13096	cyclin-dependent protein serine/threonine kinase activity
Durusdinium55695	BRCA1-associated protein 2
Durusdinium28350	3-oxo-5-alpha-steroid 4-dehydrogenase
Durusdinium17490	maturation of LSU-rRNA
Durusdinium41628	Adenylyl- / guanylyl cyclase, catalytic domain
Durusdinium36990	DNA binding
Durusdinium55897	Functions as component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks
Durusdinium34159	solute:proton antiporter activity
Durusdinium43059	Pre-mRNA splicing factor PRP21 like protein
Durusdinium11704	Golgi organization
Durusdinium35369	Calmodulin
Durusdinium40812	Belongs to the short-chain dehydrogenases reductases (SDR) family
Durusdinium23793	GTP-binding protein
Durusdinium23185	ribosomal protein
Durusdinium2338	Chlorophyll A-B binding protein
Durusdinium25838	deSI-like protein At4g17486
Durusdinium33060	divinyl chlorophyllide a 8-vinyl-reductase activity
Durusdinium9166	ferredoxin--NADP reductase, leaf-type isozyme, chloroplastic
Durusdinium31588	Uncharacterized conserved protein (DUF2183)
Durusdinium12134	palmitoyl-(protein) hydrolase activity
Durusdinium4833	sphingosine N-acyltransferase activity
Durusdinium30388	aspartoacylase activity
Durusdinium15782	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity
Durusdinium5444	Glutaredoxin
Durusdinium3965	Lactonase, 7-bladed beta-propeller
Durusdinium28596	Alpha beta hydrolase domain-containing protein
Durusdinium41034	ABC transporter
Durusdinium54512	Threonylcarbamoyladenosine tRNA
Durusdinium39847	Major facilitator superfamily
Durusdinium42184	N-terminal domain of oxidoreductase
Durusdinium37681	Glycosyl hydrolases family 15
Durusdinium2168	tryptophan synthase activity
Durusdinium23271	Poly(A) RNA polymerase gld-2
Durusdinium36711	Belongs to the AAA ATPase family
Durusdinium32346	Rhomboid-related protein 2
Durusdinium41974	Belongs to the acetylglutamate kinase family. ArgB subfamily
Durusdinium29714	DEAD-box ATP-dependent RNA helicase
Durusdinium5807	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
Durusdinium37718	RNA binding motif protein 17
Durusdinium27071	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Durusdinium27216	lysine N-methyltransferase activity
Durusdinium8413	Phytanoyl-CoA dioxygenase (PhyH)
Durusdinium29720	Haspin like kinase domain
Durusdinium27869	Protein FAM221A/B
Durusdinium38501	Photosystem I reaction center subunit IV
Durusdinium39810	DNA repair and recombination protein
Durusdinium7387	Serine threonine-protein kinase
Durusdinium22701	N-terminal conserved domain of Nudc.
Durusdinium33233	Lactonase, 7-bladed beta-propeller
Durusdinium28304	XPG N-terminal
Durusdinium36411	phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity
Durusdinium40258	Binds the poly(A) tail of mRNA
Durusdinium51859	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity
Durusdinium52763	Belongs to the WD repeat SEC13 family
Durusdinium34303	spliceosomal complex assembly
Durusdinium52613	regulation of endocannabinoid signaling pathway
Durusdinium44733	protein modification by small protein conjugation or removal
Durusdinium37664	TRNA (Guanine-N(1)-)-methyltransferase. Source PGD
Durusdinium46157	Protein tyrosine kinase
Durusdinium33412	Cleavage and polyadenylation specificity factor CPSF30-like
Durusdinium3455	Scaffold protein Nfu/NifU N terminal
Durusdinium4250	Belongs to the protein kinase superfamily
Durusdinium37945	oxidoreductase activity
Durusdinium28593	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane
Durusdinium24765	elongation factor Tu
Durusdinium30731	oxidation-reduction process
Durusdinium32127	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Durusdinium23088	oxidoreductase activity
Durusdinium6828	Belongs to the Orn Lys Arg decarboxylase class-II family
Durusdinium53147	Metacaspase-1-like
Durusdinium28639	Belongs to the mitochondrial carrier (TC 2.A.29) family
Durusdinium29414	Amino acid permease
Durusdinium3766	Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region domain-containing protein
Durusdinium10416	spermidine synthase activity
Durusdinium27823	Asparaginyl-tRNA synthetase
Durusdinium15267	calcium ion binding
Durusdinium37794	Protein tyrosine kinase
Durusdinium15704	Mannosyltransferase
Durusdinium49478	Glycosyltransferase like family 2
Durusdinium52661	atp synthase
Durusdinium37028	Belongs to the DEAD box helicase family
Durusdinium30530	Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family
Durusdinium36578	calcium-dependent protein kinase
Durusdinium39402	Cupin-like domain
Durusdinium25626	solute carrier family 2 (facilitated glucose transporter), member 10
Durusdinium46304	AI-2E family transporter
Durusdinium30256	Uncharacterized ACR, YdiU/UPF0061 family
Durusdinium39105	cysteine-type peptidase activity
Durusdinium23966	Uncharacterised conserved protein
Durusdinium7771	Protein mrp homolog
Durusdinium46524	Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs
Durusdinium40014	Filamin-type immunoglobulin domains
Durusdinium8916	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins
Durusdinium44137	taurine catabolism dioxygenase
Durusdinium24842	homolog subfamily B member
Durusdinium18552	Belongs to the class-I aminoacyl-tRNA synthetase family
Durusdinium15292	Chlorophyll A-B binding protein
Durusdinium12406	Radical SAM superfamily
Durusdinium48797	Bifunctional enzyme. Involved in de novo dTMP biosynthesis. Key enzyme in folate metabolism
Durusdinium24574	gtp-binding protein
Durusdinium18167	heat shock
Durusdinium43667	Mitogen-activated protein kinase
Durusdinium3094	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH
Durusdinium54322	Belongs to the syntaxin family
Durusdinium30121	regulation of vesicle fusion
Durusdinium34441	phosphate ion transmembrane transport
Durusdinium19463	Belongs to the SWEET sugar transporter family
Durusdinium17298	3',5'-cyclic-nucleotide phosphodiesterase activity
Durusdinium39436	Belongs to the peptidase M16 family
Durusdinium40263	Xylanase inhibitor N-terminal
Durusdinium8226	Required for the assembly and or stability of the 40S ribosomal subunit. Required for the processing of the 20S rRNA- precursor to mature 18S rRNA in a late step of the maturation of 40S ribosomal subunits
Durusdinium31925	major facilitator superfamily
Durusdinium38170	Belongs to the glycosyl hydrolase 13 family
Durusdinium2310	protein deneddylation
Durusdinium27760	GNT-I family
Durusdinium271	Cytochrome C
Durusdinium20038	E3 ubiquitin-protein ligase
Durusdinium32734	Glycosyltransferase like family 2
Durusdinium19757	Serine/threonine phosphatases, family 2C, catalytic domain
Durusdinium38226	protein serine/threonine kinase activity
Durusdinium35180	initiation factor 4E
Durusdinium29340	Eukaryotic membrane protein family
Durusdinium31800	bromo domain
Durusdinium24012	Catalyzes the irreversible transfer of a propylamine group from the amino donor S-adenosylmethioninamine (decarboxy- AdoMet) to putrescine (1,4-diaminobutane) to yield spermidine
Durusdinium3662	Methylates the class 1 translation termination release factors RF1 PrfA and RF2 PrfB on the glutamine residue of the universally conserved GGQ motif
Durusdinium41568	Isoprenylcysteine alpha-carbonyl methylesterase
Durusdinium36866	protein folding
Durusdinium32584	3'-5' exonuclease domain-containing protein
Durusdinium42291	heat shock protein binding
Durusdinium31022	histone H3
Durusdinium36718	Serine threonine-protein kinase
Durusdinium16271	RNA recognition motif 2
Durusdinium46407	L-threonine 3-dehydrogenase activity
Durusdinium52494	negative regulation of Fas signaling pathway
Durusdinium43091	protein folding
Durusdinium25292	histone lysine demethylation
Durusdinium7157	2OG-Fe(II) oxygenase superfamily
Durusdinium12742	PolyA polymerase
Durusdinium29453	Responsible for synthesis of pseudouridine from uracil
Durusdinium25999	oxidation-reduction process
Durusdinium26932	protein serine/threonine kinase activity
Durusdinium40551	polypeptide N-acetylgalactosaminyltransferase activity
Durusdinium39065	ATP-binding cassette, sub-family B (MDR TAP), member 11
Durusdinium41229	fumarate reductase
Durusdinium35612	Endonuclease/Exonuclease/phosphatase family
Durusdinium22845	MafB19-like deaminase
Durusdinium55803	Belongs to the mitochondrial carrier (TC 2.A.29) family
Durusdinium7901	P-loop containing nucleoside triphosphate hydrolase protein
Durusdinium38093	fructose-bisphosphate aldolase activity
Durusdinium26792	bis(5'-adenosyl)-triphosphatase activity
Durusdinium32184	Oxidoreductase molybdopterin binding
Durusdinium32882	riboflavin kinase activity
Durusdinium22725	(GTP)-binding protein
Durusdinium29262	single-stranded DNA binding
Durusdinium49587	Thaumatin-like protein
Durusdinium6949	EamA-like transporter family
Durusdinium36036	ribonuclease III activity
Durusdinium421	Belongs to the ubiquitin-conjugating enzyme family
Durusdinium48998	EB1 (end-binding protein 1) family proteins label growing microtubule ends specifically in diverse organisms and are implicated in spindle dynamics, chromosome segregation, and directing microtubules toward cortical sites
Durusdinium25831	TLD
Durusdinium17077	5'-AMP-activated protein kinase subunit beta-1 family protein
Durusdinium39673	RNA binding protein, contains ribosomal protein S1 domain
Durusdinium19406	Catalyzes the conversion of hemimercaptal, formed from methylglyoxal and glutathione, to S-lactoylglutathione
Durusdinium34727	ATP-binding Cassette (ABC) Superfamily. Source PGD
Durusdinium2422	Domain in DAP-5, eIF4G, MA-3 and other proteins.
Durusdinium55213	regulatory subunit
Durusdinium9231	Fumble
Durusdinium35976	polypeptide N-acetylgalactosaminyltransferase activity
Durusdinium24602	recombinational repair
Durusdinium19303	medium-chain-acyl-CoA dehydrogenase activity
Durusdinium49116	ADP-glucose pyrophosphohydrolase activity
Durusdinium16242	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium52384	coproporphyrinogen oxidase activity
Durusdinium1033	kinase 2
Durusdinium21003	Cilia and flagella associated protein 36
Durusdinium35475	Phosphorylase kinase, gamma
Durusdinium39308	Helicase and polymerase-containing protein
Durusdinium19036	Asp/Glu/Hydantoin racemase
Durusdinium36017	Haem-NO-binding
Durusdinium30936	Haem-NO-binding
Durusdinium47704	Peptide methionine sulfoxide reductase
Durusdinium46283	protein maturation by iron-sulfur cluster transfer
Durusdinium7871	Isochorismatase family
Durusdinium4840	RNA recognition motif 2
Durusdinium3684	COG0665 Glycine D-amino acid oxidases (deaminating)
Durusdinium32708	Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N- methyltransferase family
Durusdinium44014	carnosine N-methyltransferase activity
Durusdinium476	translation initiation inhibitor, yjgF family
Durusdinium46487	It is involved in the biological process described with protein secretion
Durusdinium38088	SET and MYND domain containing 3
Durusdinium532	WD repeat-containing protein
Durusdinium52884	Alpha-tubulin suppressor and related RCC1 domain-containing proteins
Durusdinium31407	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Durusdinium28231	Belongs to the class-II DAHP synthase family
Durusdinium7884	Ubiquitin associated domain
Durusdinium10803	diacylglycerol lipase beta
Durusdinium52420	-
Durusdinium19998	Catalyzes two activities which are involved in the cyclic version of arginine biosynthesis the synthesis of acetylglutamate from glutamate and acetyl-CoA, and of ornithine by transacetylation between acetylornithine and glutamate
Durusdinium24562	NAD(P)H-binding
Durusdinium36491	ubiquitin-protein transferase activity
Durusdinium37118	NADPH-dependent FMN reductase
Durusdinium9359	Belongs to the MCM family
Durusdinium40068	Thiolesterase that catalyzes the hydrolysis of S-D- lactoyl-glutathione to form glutathione and D-lactic acid
Durusdinium39478	PHD-finger
Durusdinium25544	3-oxoacid CoA-transferase activity
Durusdinium52323	EF-hand domain
Durusdinium946	acid synthase
Durusdinium38387	Belongs to the PEP-utilizing enzyme family
Durusdinium39238	sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity
Durusdinium37704	Belongs to the eukaryotic ribosomal protein eL13 family
Durusdinium36843	annealing helicase activity
Durusdinium55424	Enoyl-(Acyl carrier protein) reductase
Durusdinium23244	Glucosidase II beta subunit-like protein
Durusdinium45910	intraciliary anterograde transport
Durusdinium30450	Belongs to the DHHC palmitoyltransferase family
Durusdinium15361	interleukin-8 biosynthetic process
Durusdinium32076	Protein tyrosine kinase
Durusdinium40905	Calcium-dependent protein kinase
Durusdinium36878	Major Facilitator Superfamily
Durusdinium18003	spectrin binding
Durusdinium35424	homolog subfamily C member
Durusdinium4367	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium16565	Sulfurtransferase
Durusdinium28686	Belongs to the ubiquitin-conjugating enzyme family
Durusdinium236	tyrosine-tRNA ligase activity
Durusdinium28684	steroid binding
Durusdinium43313	RNA-binding protein mei2 homologue
Durusdinium32069	Solute carrier family 9
Durusdinium7349	heat shock protein DnaJ
Durusdinium31703	acid phosphatase activity
Durusdinium17791	ribosomal large subunit assembly
Durusdinium34189	Belongs to the transketolase family
Durusdinium37273	Belongs to the protein kinase superfamily
Durusdinium33346	Collagenase
Durusdinium39927	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
Durusdinium16671	NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus
Durusdinium35657	Calcium-dependent protein kinase
Durusdinium3227	PKHD-type hydroxylase At1g22950-like
Durusdinium28828	transporter
Durusdinium30725	Belongs to the eukaryotic ribosomal protein eS8 family
Durusdinium7604	oxidoreductase activity
Durusdinium35080	Galactosylceramidase b
Durusdinium19044	cysteine-type endopeptidase activity
Durusdinium2095	Ribosomal protein S12
Durusdinium13167	protein serine/threonine kinase activity
Durusdinium26591	Transmembrane family, TMEM144 of transporters
Durusdinium26858	translation elongation factor activity
Durusdinium43248	Steryl acetyl hydrolase
Durusdinium7683	RNA helicase
Durusdinium25675	sequence-specific DNA binding
Durusdinium10956	pre-RNA processing PIH1/Nop17
Durusdinium49295	Tetratricopeptide repeats
Durusdinium35763	water channel activity
Durusdinium47641	cysteine-type peptidase activity
Durusdinium27487	phosphatase 2c
Durusdinium40383	Manganese-stabilising protein / photosystem II polypeptide
Durusdinium22777	Aldehyde dehydrogenase family
Durusdinium19002	Double-stranded DNA-binding domain
Durusdinium14069	N-methylnicotinate transmembrane transporter activity
Durusdinium26075	delayed rectifier potassium channel activity
Durusdinium38473	Cupin superfamily protein
Durusdinium4141	heavy chain 3
Durusdinium37966	ATPase activity, coupled to transmembrane movement of substances
Durusdinium158	GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity
Durusdinium16285	belongs to the protein kinase superfamily
Durusdinium48807	dihydrokaempferol 4-reductase activity
Durusdinium52549	Nitronate monooxygenase
Durusdinium28679	Protein of unknown function (DUF819)
Durusdinium22472	Zinc-ribbon, C4HC2 type
Durusdinium21439	Zinc finger, C3HC4 type (RING finger) domain-containing protein
Durusdinium23967	Component of the dark-operative protochlorophyllide reductase (DPOR) that uses Mg-ATP and reduced ferredoxin to reduce ring D of protochlorophyllide (Pchlide) to form chlorophyllide a (Chlide). This reaction is light-independent. The L component serves as a unique electron donor to the NB-component of the complex, and binds Mg-ATP
Durusdinium31700	Involved in the biosynthesis of the osmoprotectant glycine betaine. Catalyzes the oxidation of choline to betaine aldehyde and betaine aldehyde to glycine betaine at the same rate
Durusdinium54799	intramolecular oxidoreductase activity, transposing S-S bonds
Durusdinium11916	UDP-galactose transporter
Durusdinium46763	polyketide synthase
Durusdinium36371	protein serine/threonine phosphatase activity
Durusdinium19445	signal complex assembly
Durusdinium39831	protein deglutamylation
Durusdinium8000	Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits
Durusdinium40435	Belongs to the peptidase M24B family
Durusdinium20171	Cyclin-dependent kinase inhibitor 3 (CDKN3)
Durusdinium33269	MFS_1 like family
Durusdinium55161	Aldo/keto reductase family
Durusdinium35013	Belongs to the MIP aquaporin (TC 1.A.8) family
Durusdinium40365	aldehyde oxidase
Durusdinium51988	threonine-type endopeptidase activity
Durusdinium30045	oxidoreductase activity
Durusdinium17027	Calcium-dependent protein kinase
Durusdinium49476	Flagellar microtugule protofilament ribbon protein
Durusdinium29545	Uroporphyrinogen decarboxylase (URO-D)
Durusdinium17025	6-phosphogluconolactonase activity
Durusdinium112	protein serine/threonine kinase activity
Durusdinium19791	Sucrose transport
Durusdinium3894	posttranslational protein targeting to membrane, translocation
Durusdinium54975	cAMP-dependent protein kinase regulatory subunit
Durusdinium40049	Chlorophyll A-B binding protein
Durusdinium34823	Belongs to the ubiquitin-conjugating enzyme family
Durusdinium18833	Cytidine and deoxycytidylate deaminase zinc-binding region
Durusdinium23212	Belongs to the glycosyl hydrolase 47 family
Durusdinium34791	An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism
Durusdinium32714	Belongs to the DHHC palmitoyltransferase family
Durusdinium4813	Sigma factor PP2C-like phosphatases
Durusdinium25925	reductase
Durusdinium49015	PPP5 TPR repeat region
Durusdinium21862	Source PGD
Durusdinium27584	Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors. Is thus essential for accurate translation
Durusdinium1322	Multicopper oxidase
Durusdinium35117	Ribosomal L30 N-terminal domain
Durusdinium44144	RNA recognition motif 2 family protein
Durusdinium11208	phosphatase activator activity
Durusdinium38426	2-oxoglutarate dehydrogenase
Durusdinium35679	amino acid transmembrane transporter activity
Durusdinium45115	Belongs to the eukaryotic ribosomal protein eS21 family
Durusdinium23171	e3 binding domain
Durusdinium22939	Mitochondrial 18 KDa protein (MTP18)
Durusdinium15318	Desumoylating isopeptidase
Durusdinium26821	PPP5 TPR repeat region
Durusdinium26999	Lysine methyltransferase
Durusdinium34223	ATPase activity
Durusdinium4289	ubiquitin-protein transferase activity
Durusdinium2919	Vesicle-associated membrane protein
Durusdinium29228	Uncharacterized ACR, YdiU/UPF0061 family
Durusdinium25444	Dolichol kinase activity. It is involved in the biological process described with dolichyl monophosphate biosynthetic process
Durusdinium33194	methyltransferase
Durusdinium18654	Lysine methyltransferase
Durusdinium16624	Uncharacterised protein family UPF0047
Durusdinium15888	Psort location Cytoplasmic, score
Durusdinium47056	Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family
Durusdinium33304	fatty acid amide hydrolase activity
Durusdinium8505	Ribosomal protein S17
Durusdinium25636	Glutathione S-transferase
Durusdinium25877	fatty acyl-CoA reductase
Durusdinium54460	ATP synthase
Durusdinium20130	Pumilio homolog 2-like
Durusdinium25462	rhodanese-like domain-containing protein
Durusdinium46341	Belongs to the pseudouridine synthase RsuA family
Durusdinium41257	Dynein heavy chain
Durusdinium34289	containing 2
Durusdinium12710	Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells. Multiple isoforms are involved in various cellular functions such as cytoskeleton structure, cell mobility, chromosome movement and muscle contraction
Durusdinium52737	Belongs to the peroxidase family
Durusdinium49187	heterogeneous nuclear ribonucleoprotein
Durusdinium12811	endoplasmic reticulum protein retention receptor
Durusdinium4317	Thioredoxin
Durusdinium452	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family
Durusdinium40026	Mannosyltransferase (PIG-M)
Durusdinium9138	IMP dehydrogenase activity
Durusdinium6670	Pyrophosphatase that catalyzes the hydrolysis of nucleoside triphosphates to their monophosphate derivatives, with a high preference for the non-canonical purine nucleotides XTP (xanthosine triphosphate), dITP (deoxyinosine triphosphate) and ITP. Seems to function as a house-cleaning enzyme that removes non-canonical purine nucleotides from the nucleotide pool, thus preventing their incorporation into DNA RNA and avoiding chromosomal lesions
Durusdinium55481	hormone-mediated apoptotic signaling pathway
Durusdinium32797	Mitogen-activated protein kinase
Durusdinium47228	Leucine rich repeat
Durusdinium22907	Aldo/keto reductase family
Durusdinium19973	epimerase dehydratase
Durusdinium16496	endoplasmic reticulum tubular network membrane organization
Durusdinium30990	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids
Durusdinium40996	Catalyzes the formation of S-adenosylmethionine from methionine and ATP
Durusdinium32293	N,N-dimethylaniline monooxygenase activity
